age_months,L,M,S
0,1,49.8842,0.038
1,1,54.7244,0.0356
2,1,58.4249,0.0342
3,1,61.4292,0.0333
4,1,63.886,0.0326
5,1,65.9026,0.032
6,1,67.6236,0.0317
7,1,69.1645,0.0314
8,1,70.5994,0.0312
9,1,71.9687,0.0312
10,1,73.2812,0.0312
11,1,74.5388,0.0313
12,1,75.7488,0.0314
13,1,76.9186,0.0315
14,1,78.0497,0.0317
15,1,79.1458,0.032
16,1,80.2113,0.0322
17,1,81.2487,0.0325
18,1,82.2587,0.0328
19,1,83.2418,0.0331
20,1,84.1996,0.0334
21,1,85.1348,0.0338
22,1,86.0477,0.0341
23,1,86.941,0.0345
24,1,87.1161,0.0351
25,1,87.972,0.0354
26,1,88.8065,0.0358
27,1,89.6197,0.0361
28,1,90.412,0.0364
29,1,91.1828,0.0367
30,1,91.9327,0.037
31,1,92.6631,0.0373
32,1,93.3753,0.0376
33,1,94.0711,0.0379
34,1,94.7532,0.0381
35,1,95.4236,0.0384
36,-1.0915,96.4961,0.0403
37,-1.0011,97.0464,0.0403
38,-0.9126,97.5965,0.0402
39,-0.8262,98.1463,0.0402
40,-0.7418,98.6959,0.0402
41,-0.6592,99.2452,0.0402
42,-0.5827,99.793,0.0401
43,-0.5077,100.3406,0.0401
44,-0.4343,100.8881,0.0401
45,-0.3625,101.4353,0.0401
46,-0.2921,101.9824,0.0401
47,-0.2232,102.5294,0.04
48,-0.1597,103.0749,0.04
49,-0.0975,103.6204,0.04
50,-0.0364,104.1657,0.04
51,0.0234,104.7109,0.0399
52,0.0822,105.256,0.0399
53,0.1398,105.8009,0.0399
54,0.1897,106.344,0.0399
55,0.2387,106.8869,0.0399
56,0.2868,107.4298,0.0398
57,0.3341,107.9726,0.0398
58,0.3805,108.5153,0.0398
59,0.4261,109.0579,0.0398
60,0.4242,109.5896,0.0398
61,0.4223,110.1212,0.0399
62,0.4205,110.6529,0.0399
63,0.4187,111.1846,0.0399
64,0.4169,111.7162,0.04
65,0.4151,112.2479,0.04
66,0.3787,112.7735,0.04
67,0.3429,113.299,0.0401
68,0.3074,113.8245,0.0401
69,0.2724,114.3501,0.0402
70,0.2378,114.8756,0.0402
71,0.2036,115.401,0.0403
72,0.1783,115.9183,0.0403
73,0.1533,116.4356,0.0404
74,0.1287,116.9528,0.0404
75,0.1044,117.4701,0.0405
76,0.0805,117.9874,0.0405
77,0.0569,118.5047,0.0406
78,0.0563,119.0136,0.0406
79,0.0557,119.5225,0.0406
80,0.0552,120.0314,0.0406
81,0.0546,120.5404,0.0406
82,0.0541,121.0493,0.0406
83,0.0536,121.5582,0.0406
84,0.0492,122.0537,0.0406
85,0.0448,122.5492,0.0406
86,0.0405,123.0447,0.0406
87,0.0363,123.5402,0.0406
88,0.0321,124.0357,0.0406
89,0.028,124.5313,0.0406
90,0.0397,125.0114,0.0406
91,0.0514,125.4914,0.0405
92,0.0628,125.9715,0.0405
93,0.0741,126.4515,0.0405
94,0.0853,126.9316,0.0405
95,0.0964,127.4116,0.0405
96,0.1205,127.8793,0.0405
97,0.1443,128.3469,0.0404
98,0.1679,128.8145,0.0404
99,0.1912,129.2821,0.0404
100,0.2142,129.7497,0.0404
101,0.237,130.2172,0.0404
102,0.2339,130.6754,0.0404
103,0.2308,131.1336,0.0404
104,0.2278,131.5919,0.0404
105,0.2248,132.0501,0.0404
106,0.2218,132.5084,0.0404
107,0.2188,132.9666,0.0404
108,0.1885,133.4136,0.0405
109,0.1585,133.8606,0.0406
110,0.1288,134.3076,0.0406
111,0.0994,134.7545,0.0407
112,0.0704,135.2014,0.0408
113,0.0416,135.6482,0.0409
114,0.021,136.1026,0.041
115,0.0008,136.5569,0.0411
116,-0.0191,137.0113,0.0412
117,-0.0386,137.4656,0.0414
118,-0.0579,137.9199,0.0415
119,-0.0768,138.3742,0.0416
120,-0.0752,138.8473,0.0417
121,-0.0736,139.3205,0.0419
122,-0.072,139.7936,0.042
123,-0.0705,140.2667,0.0422
124,-0.0689,140.7398,0.0423
125,-0.0674,141.213,0.0424
126,-0.0489,141.7059,0.0426
127,-0.0308,142.1987,0.0428
128,-0.0131,142.6916,0.043
129,0.0041,143.1844,0.0432
130,0.0209,143.6773,0.0434
131,0.0373,144.1701,0.0436
132,0.0886,144.701,0.0438
133,0.1383,145.2319,0.0441
134,0.1864,145.7627,0.0443
135,0.2331,146.2935,0.0445
136,0.2784,146.8242,0.0448
137,0.3223,147.3549,0.045
138,0.4064,147.9321,0.0453
139,0.4882,148.5094,0.0455
140,0.5676,149.0866,0.0457
141,0.6448,149.6638,0.0459
142,0.7199,150.2409,0.0462
143,0.7929,150.818,0.0464
144,0.8928,151.4223,0.0465
145,0.991,152.0268,0.0466
146,1.0877,152.6312,0.0467
147,1.1829,153.2358,0.0468
148,1.2764,153.8404,0.0469
149,1.3684,154.445,0.047
150,1.458,155.0459,0.0469
151,1.5475,155.6468,0.0469
152,1.637,156.2477,0.0468
153,1.7263,156.8487,0.0467
154,1.8155,157.4497,0.0466
155,1.9045,158.0507,0.0465
