age_months,L,M,S
0,0.3487,3.3464,0.146
1,0.2297,4.4709,0.134
2,0.197,5.5675,0.1239
3,0.1738,6.3762,0.1173
4,0.1553,7.0023,0.1132
5,0.1395,7.5105,0.1108
6,0.1257,7.934,0.1096
7,0.1134,8.297,0.109
8,0.1021,8.6151,0.1088
9,0.0917,8.9014,0.1088
10,0.082,9.1649,0.1089
11,0.073,9.4122,0.1091
12,0.0644,9.6479,0.1093
13,0.0563,9.8749,0.1095
14,0.0487,10.0953,0.1098
15,0.0413,10.3108,0.1101
16,0.0343,10.5228,0.1104
17,0.0275,10.7319,0.1108
18,0.0211,10.9385,0.1112
19,0.0148,11.143,0.1116
20,0.0087,11.3462,0.1121
21,0.0029,11.5486,0.1126
22,-0.0028,11.7504,0.1131
23,-0.0083,11.9514,0.1137
24,-0.0137,12.1515,0.1143
25,-0.0189,12.3502,0.1149
26,-0.024,12.5466,0.1154
27,-0.0289,12.7401,0.116
28,-0.0337,12.9303,0.1166
29,-0.0385,13.1169,0.1172
30,-0.0431,13.3,0.1178
31,-0.0476,13.4798,0.1184
32,-0.052,13.6567,0.119
33,-0.0564,13.8309,0.1195
34,-0.0606,14.0031,0.1201
35,-0.0648,14.1736,0.1206
36,0.0567,14.7381,0.0969
37,-0.0147,14.911,0.0981
38,-0.0804,15.0839,0.0993
39,-0.1409,15.2569,0.1005
40,-0.1966,15.4299,0.1016
41,-0.248,15.603,0.1027
42,-0.299,15.7775,0.1038
43,-0.3461,15.9521,0.1049
44,-0.3895,16.1268,0.106
45,-0.4297,16.3015,0.107
46,-0.4669,16.4763,0.108
47,-0.5013,16.6512,0.1089
48,-0.5361,16.8276,0.1099
49,-0.5684,17.0041,0.1108
50,-0.5983,17.1807,0.1118
51,-0.6261,17.3573,0.1127
52,-0.6518,17.534,0.1136
53,-0.6758,17.7108,0.1144
54,-0.6998,17.8888,0.1153
55,-0.7222,18.067,0.1161
56,-0.743,18.2452,0.117
57,-0.7623,18.4235,0.1178
58,-0.7803,18.6018,0.1186
59,-0.7971,18.7802,0.1194
60,-0.8162,18.9625,0.1202
61,-0.8339,19.1449,0.1211
62,-0.8503,19.3274,0.1219
63,-0.8655,19.51,0.1227
64,-0.8797,19.6926,0.1235
65,-0.893,19.8753,0.1242
66,-0.9106,20.0814,0.1254
67,-0.9264,20.2877,0.1265
68,-0.9407,20.4941,0.1275
69,-0.9536,20.7007,0.1286
70,-0.9653,20.9073,0.1296
71,-0.9757,21.1141,0.1306
72,-0.9753,21.3417,0.1318
73,-0.9743,21.5693,0.133
74,-0.973,21.797,0.1342
75,-0.9714,22.0247,0.1353
76,-0.9694,22.2524,0.1364
77,-0.9672,22.4802,0.1375
78,-0.9576,22.7267,0.1388
79,-0.9481,22.9732,0.14
80,-0.9388,23.2196,0.1412
81,-0.9298,23.4661,0.1424
82,-0.921,23.7126,0.1435
83,-0.9124,23.9591,0.1447
84,-0.8993,24.2214,0.146
85,-0.8867,24.4837,0.1474
86,-0.8745,24.7461,0.1486
87,-0.8628,25.0084,0.1499
88,-0.8514,25.2707,0.1511
89,-0.8404,25.5329,0.1524
90,-0.8208,25.8155,0.1537
91,-0.802,26.0979,0.155
92,-0.7841,26.3804,0.1563
93,-0.7669,26.6629,0.1576
94,-0.7503,26.9453,0.1588
95,-0.7344,27.2277,0.16
96,-0.7076,27.5321,0.1613
97,-0.682,27.8365,0.1625
98,-0.6574,28.1409,0.1638
99,-0.6339,28.4453,0.165
100,-0.6113,28.7497,0.1661
101,-0.5896,29.054,0.1673
102,-0.5621,29.3761,0.1685
103,-0.5357,29.6982,0.1698
104,-0.5103,30.0203,0.171
105,-0.486,30.3424,0.1721
106,-0.4627,30.6645,0.1733
107,-0.4402,30.9867,0.1744
108,-0.416,31.3251,0.1756
109,-0.3928,31.6635,0.1768
110,-0.3705,32.0019,0.1779
111,-0.3491,32.3404,0.179
112,-0.3284,32.6788,0.1801
113,-0.3085,33.0173,0.1812
114,-0.2869,33.3742,0.1823
115,-0.2661,33.7312,0.1833
116,-0.2461,34.0882,0.1844
117,-0.2267,34.4452,0.1854
118,-0.2081,34.8022,0.1864
119,-0.1902,35.1592,0.1873
120,-0.17,35.5349,0.1882
121,-0.1505,35.9105,0.189
122,-0.1317,36.2862,0.1899
123,-0.1134,36.6619,0.1907
124,-0.0958,37.0376,0.1914
125,-0.0788,37.4134,0.1922
126,-0.0612,37.8103,0.1929
127,-0.0441,38.2074,0.1936
128,-0.0275,38.6045,0.1942
129,-0.0113,39.0017,0.1949
130,0.0043,39.3989,0.1955
131,0.0195,39.7961,0.1961
132,0.0333,40.2146,0.1966
133,0.0467,40.6331,0.1971
134,0.0599,41.0518,0.1976
135,0.0726,41.4706,0.1981
136,0.0851,41.8894,0.1986
137,0.0973,42.3083,0.1991
138,0.1071,42.7515,0.1992
139,0.1168,43.1947,0.1994
140,0.1263,43.638,0.1996
141,0.1356,44.0813,0.1997
142,0.1448,44.5248,0.1999
143,0.1538,44.9684,0.2
144,0.1618,45.4253,0.1998
145,0.1698,45.8824,0.1995
146,0.1777,46.3396,0.1993
147,0.1855,46.7968,0.1991
148,0.1932,47.2542,0.1988
149,0.2009,47.7116,0.1986
150,0.2081,48.1693,0.198
151,0.2154,48.6271,0.1974
152,0.2226,49.085,0.1969
153,0.2299,49.5431,0.1963
154,0.2372,50.0012,0.1957
155,0.2445,50.4595,0.1952
156,0.2503,50.9021,0.1942
157,0.2562,51.3448,0.1932
158,0.2622,51.7875,0.1923
159,0.2683,52.2304,0.1914
160,0.2745,52.6733,0.1904
161,0.2808,53.1164,0.1895
162,0.2841,53.5329,0.1882
163,0.2876,53.9495,0.1869
164,0.2911,54.366,0.1856
165,0.2948,54.7826,0.1843
166,0.2986,55.1993,0.183
167,0.3026,55.6159,0.1818
168,0.3023,55.9927,0.1802
169,0.302,56.3694,0.1787
170,0.3019,56.7462,0.1772
171,0.3019,57.1229,0.1757
172,0.3019,57.4995,0.1742
173,0.3021,57.8762,0.1727
174,0.2993,58.2029,0.1711
175,0.2965,58.5296,0.1696
176,0.2938,58.8563,0.168
177,0.2911,59.1829,0.1665
178,0.2885,59.5096,0.165
179,0.2859,59.8362,0.1635
180,0.2818,60.1106,0.162
181,0.2777,60.385,0.1606
182,0.2736,60.6594,0.1591
183,0.2695,60.9338,0.1577
184,0.2654,61.2081,0.1563
185,0.2613,61.4825,0.1549
186,0.2514,61.7129,0.1537
187,0.2412,61.9434,0.1525
188,0.231,62.1739,0.1513
189,0.2207,62.4045,0.1501
190,0.2102,62.6351,0.1489
191,0.1996,62.8658,0.1477
192,0.1829,63.055,0.1468
193,0.166,63.2442,0.1459
194,0.1489,63.4335,0.145
