age_months,L,M,S
0,0.3809,3.2322,0.1417
1,0.1714,4.1873,0.1372
2,0.0962,5.1282,0.13
3,0.0402,5.8458,0.1262
4,-0.005,6.4237,0.124
5,-0.043,6.8985,0.1227
6,-0.0756,7.297,0.122
7,-0.1039,7.6422,0.1218
8,-0.1288,7.9487,0.1218
9,-0.1507,8.2254,0.122
10,-0.17,8.48,0.1222
11,-0.1872,8.7192,0.1225
12,-0.2024,8.9481,0.1227
13,-0.2158,9.1699,0.1228
14,-0.2278,9.387,0.1229
15,-0.2384,9.6008,0.123
16,-0.2478,9.8124,0.123
17,-0.2562,10.0226,0.1231
18,-0.2637,10.2315,0.1231
19,-0.2703,10.4393,0.1232
20,-0.2762,10.6464,0.1232
21,-0.2815,10.8534,0.1234
22,-0.2862,11.0608,0.1235
23,-0.2903,11.2688,0.1237
24,-0.2941,11.4775,0.1239
25,-0.2975,11.6864,0.1241
26,-0.3005,11.8947,0.1244
27,-0.3032,12.1015,0.1247
28,-0.3057,12.3059,0.1251
29,-0.308,12.5073,0.1255
30,-0.3101,12.7055,0.1259
31,-0.312,12.9006,0.1263
32,-0.3138,13.093,0.1268
33,-0.3155,13.2837,0.1274
34,-0.3171,13.4731,0.1279
35,-0.3186,13.6618,0.1286
36,0.5656,14.1998,0.0991
37,0.4441,14.3701,0.1004
38,0.3317,14.5405,0.1017
39,0.2276,14.7108,0.103
40,0.1312,14.8813,0.1042
41,0.0419,15.0518,0.1053
42,-0.0428,15.2236,0.1064
43,-0.1212,15.3956,0.1075
44,-0.1938,15.5676,0.1085
45,-0.2611,15.7399,0.1095
46,-0.3236,15.9123,0.1105
47,-0.3816,16.0848,0.1114
48,-0.4372,16.2585,0.1124
49,-0.4888,16.4324,0.1133
50,-0.5367,16.6064,0.1142
51,-0.5812,16.7806,0.115
52,-0.6227,16.9549,0.1159
53,-0.6613,17.1294,0.1167
54,-0.6987,17.3046,0.1175
55,-0.7335,17.48,0.1183
56,-0.766,17.6555,0.119
57,-0.7962,17.8311,0.1198
58,-0.8245,18.0069,0.1205
59,-0.8509,18.1827,0.1212
60,-0.876,18.3616,0.122
61,-0.8993,18.5405,0.1228
62,-0.921,18.7196,0.1236
63,-0.9412,18.8988,0.1243
64,-0.96,19.078,0.125
65,-0.9776,19.2574,0.1257
66,-0.984,19.4555,0.127
67,-0.9894,19.6537,0.1281
68,-0.9941,19.8519,0.1293
69,-0.9981,20.0502,0.1304
70,-1.0014,20.2485,0.1315
71,-1.0041,20.4468,0.1326
72,-0.9954,20.6619,0.134
73,-0.9868,20.8769,0.1353
74,-0.9784,21.092,0.1367
75,-0.97,21.3071,0.138
76,-0.9618,21.5221,0.1392
77,-0.9537,21.7372,0.1405
78,-0.9411,21.9702,0.1418
79,-0.9288,22.2032,0.1432
80,-0.9169,22.4363,0.1445
81,-0.9054,22.6693,0.1458
82,-0.8942,22.9023,0.1471
83,-0.8833,23.1353,0.1484
84,-0.8685,23.387,0.1497
85,-0.8541,23.6386,0.1511
86,-0.8403,23.8903,0.1524
87,-0.8271,24.1419,0.1536
